id,name,code,created_at,updated_at
1,Accountant,DSG-1,2024-06-07 16:27:02.85574+05:30,2024-06-07 16:27:02.85574+05:30
2,Accounts Manager,DSG-2,2024-06-07 16:27:02.85574+05:31,2024-06-07 16:27:02.85574+05:31
3,Accounts Wh,DSG-3,2024-06-07 16:27:02.85574+05:32,2024-06-07 16:27:02.85574+05:32
4,Bill Clerk,DSG-4,2024-06-07 16:27:02.85574+05:33,2024-06-07 16:27:02.85574+05:33
5,Cashier,DSG-5,2024-06-07 16:27:02.85574+05:34,2024-06-07 16:27:02.85574+05:34
6,Counter Executive,DSG-6,2024-06-07 16:27:02.85574+05:35,2024-06-07 16:27:02.85574+05:35
7,Counter Executive wh,DSG-7,2024-06-07 16:27:02.85574+05:36,2024-06-07 16:27:02.85574+05:36
8,Driver,DSG-8,2024-06-07 16:27:02.85574+05:37,2024-06-07 16:27:02.85574+05:37
9,EDP,DSG-9,2024-06-07 16:27:02.85574+05:38,2024-06-07 16:27:02.85574+05:38
10,General Manager,DSG-10,2024-06-07 16:27:02.85574+05:39,2024-06-07 16:27:02.85574+05:39
11,HR Executive,DSG-11,2024-06-07 16:27:02.85574+05:40,2024-06-07 16:27:02.85574+05:40
12,HR Manager,DSG-12,2024-06-07 16:27:02.85574+05:41,2024-06-07 16:27:02.85574+05:41
13,Incharge,DSG-13,2024-06-07 16:27:02.85574+05:42,2024-06-07 16:27:02.85574+05:42
14,Packer,DSG-14,2024-06-07 16:27:02.85574+05:43,2024-06-07 16:27:02.85574+05:43
15,Retail Counter Executive,DSG-15,2024-06-07 16:27:02.85574+05:44,2024-06-07 16:27:02.85574+05:44
16,Retail Outlet Incharge,DSG-16,2024-06-07 16:27:02.85574+05:45,2024-06-07 16:27:02.85574+05:45
17,RO Coordinator,DSG-17,2024-06-07 16:27:02.85574+05:46,2024-06-07 16:27:02.85574+05:46
18,Sales Executive,DSG-18,2024-06-07 16:27:02.85574+05:47,2024-06-07 16:27:02.85574+05:47
19,Sales Manager,DSG-19,2024-06-07 16:27:02.85574+05:48,2024-06-07 16:27:02.85574+05:48
20,Sector Head,DSG-20,2024-06-07 16:27:02.85574+05:49,2024-06-07 16:27:02.85574+05:49
21,Senior Accounts Manager,DSG-21,2024-06-07 16:27:02.85574+05:50,2024-06-07 16:27:02.85574+05:50
22,Stock Audit Team,DSG-22,2024-06-07 16:27:02.85574+05:51,2024-06-07 16:27:02.85574+05:51
23,Stock Auditor,DSG-23,2024-06-07 16:27:02.85574+05:52,2024-06-07 16:27:02.85574+05:52
24,Supervisior,DSG-24,2024-06-07 16:27:02.85574+05:53,2024-06-07 16:27:02.85574+05:53
25,System Administrator,DSG-25,2024-06-07 16:27:02.85574+05:54,2024-06-07 16:27:02.85574+05:54
26,Telecaller,DSG-26,2024-06-07 16:27:02.85574+05:55,2024-06-07 16:27:02.85574+05:55
